Search term,Cost,Total conv. value,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate
mos spring,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring,0.15,0,0,2,38,0,0.05,0.08,0,0,0
indestructable charger,0.11,0,0,1,6,0,0.17,0.11,0,0,0
6 foot micro usb cable with metal mesh cord,0.19,0,0,1,1,0,1,0.19,0,0,0
best android charger cable,0,0,0,0,3,0,0,0,0,0,0
lifetime braded usb cable,0.19,0,0,1,1,0,1,0.19,0,0,0
mos spring charger,0.04,0,0,1,3,0,0.33,0.04,0,0,0
mos spring charger,0.01,0,0,1,2,0,0.5,0.01,0,0,0
teal auxliary cord,0.19,0,0,1,1,0,1,0.19,0,0,0
buy mos 6 foot spring lightning cable,0.01,0,0,1,1,0,1,0.01,0,0,0
buy mos 6 foot spring lightning cable,0.01,0,0,1,2,0,0.5,0.01,0,0,0
10 ft mos spring lightning cable,0.05,0,0,5,8,0,0.63,0.01,0,0,0
unbreakable micro usb,0.3,0,0,2,18,0,0.11,0.15,0,0,0
indestructible lightning cable,0.35,0,0,2,20,0,0.1,0.18,0,0,0
mos spring 6ft,0.12,0,0,1,1,0,1,0.12,0,0,0
mos tanglefree spring lightning cable,0.14,94.46,1,1,1,674.71,1,0.14,0,0.14,1
mos lightning cable iphone 10 ft,0.13,0,0,1,1,0,1,0.13,0,0,0
amazon lgg4 charging cord,0.12,0,0,1,1,0,1,0.12,0,0,0
sewell charger with mos spring,0.02,49.47,1,2,1,2473.5,2,0.01,0,0.02,0.5
mos spring micro usb cable 6ft,0.13,0,0,1,10,0,0.1,0.13,0,0,0
mos spring micro usb cable 6ft,0.02,0,0,2,5,0,0.4,0.01,0,0,0
mos spring micro usb cable 6ft,0.01,0,0,1,2,0,0.5,0.01,0,0,0
mos spring micro usb cable 6ft,0.17,0,0,1,4,0,0.25,0.17,0,0,0
magnetic wire organizer,0.2,0,0,1,2,0,0.5,0.2,0,0,0
best price spring mos lightning cable,0.08,17.43,1,1,1,217.88,1,0.08,0,0.08,1
undestructble charger,0.15,0,0,1,1,0,1,0.15,0,0,0
seell mos charger,0.01,0,0,1,1,0,1,0.01,0,0,0
indestructible usb c cable,0.12,0,0,1,2,0,0.5,0.12,0,0,0
magnetic cord holder,0.14,0,0,1,9,0,0.11,0.14,0,0,0
mos spring iphone lightning cable,0.01,0,0,1,1,0,1,0.01,0,0,0
unbreakable charger,0.1,0,0,1,92,0,0.01,0.1,0,0,0
mos spring iphone 6 plus cable,0.01,0,0,1,1,0,1,0.01,0,0,0
10ft unbreakable iphone charger,0.12,0,0,1,2,0,0.5,0.12,0,0,0
mos 30550,0.01,0,0,1,3,0,0.33,0.01,0,0,0
sewell phone charger,0.04,0,0,1,1,0,1,0.04,0,0,0
mos spring lightning cable aluminum heads steel spring relief & exoskeleton braided jacket deep grey 3 ft,0.01,0,0,1,3,0,0.33,0.01,0,0,0
high quality micro usb cable,0.29,0,0,2,46,0,0.04,0.14,0,0,0
sw 30555 6,0.01,13.31,1,1,3,1331,0.33,0.01,0,0.01,1
micro usb mos spring cable,0.01,0,0,1,5,0,0.2,0.01,0,0,0
micro usb mos spring cable,0.15,0,0,1,2,0,0.5,0.15,0,0,0
lifetime warranty usb cable,0.2,0,0,1,1,0,1,0.2,0,0,0
sewell spring lightning cable,0.02,23.5,1,2,1,1175,2,0.01,0,0.02,0.5
mos spring micro usb cable,0,0,0,0,16,0,0,0,0,0,0
mos spring micro usb cable,0.74,103.38,5,22,447,139.7,0.05,0.03,0,0.15,0.23
mos spring micro usb cable,0.63,0,0,4,164,0,0.02,0.16,0,0,0
mos spring micro usb cable,0.01,13.53,1,1,7,1353,0.14,0.01,0,0.01,1
mos spring micro usb cable,0.2,0,0,1,8,0,0.13,0.2,0,0,0
most durable micro usb cable,0.2,0,0,1,17,0,0.06,0.2,0,0,0
mos spring lightning cable 10ft android,0.15,0,0,1,1,0,1,0.15,0,0,0
micro usb charge cable,0.2,0,0,1,1,0,1,0.2,0,0,0
mos magnetic cable,0.09,0,0,1,1,0,1,0.09,0,0,0
mos spring lightning cable aluminum heads with spring relief deep,0.16,0,0,1,1,0,1,0.16,0,0,0
durable android phone charger,0.36,13.31,1,2,9,36.97,0.22,0.18,0,0.36,0.5
lifetime warranty phone charger,0.67,0,0,5,24,0,0.21,0.13,0,0,0
indestructible iphone charger,0.15,0,0,1,32,0,0.03,0.15,0,0,0
indestructible iphone charger,0.15,0,0,1,31,0,0.03,0.15,0,0,0
indestructible phone charger android,0.15,0,0,1,1,0,1,0.15,0,0,0
10 foot metal lightning cord,0.13,0,0,1,1,0,1,0.13,0,0,0
mos spring lightning microusb,0.01,0,0,1,1,0,1,0.01,0,0,0
spring lightning cable,0.19,0,0,1,12,0,0.08,0.19,0,0,0
lifetime warranty charger micro usb,0.12,0,0,1,4,0,0.25,0.12,0,0,0
unbreakable lightning cable,0.54,0,0,3,160,0,0.02,0.18,0,0,0
15 foot iphone charge cable,0.2,0,0,1,2,0,0.5,0.2,0,0,0
unbreakable iphone chsrger,0.13,0,0,1,1,0,1,0.13,0,0,0
high quality lightning cable,0.15,0,0,1,28,0,0.04,0.15,0,0,0
10ft lightning cable,0.2,0,0,1,20,0,0.05,0.2,0,0,0
unbreakable iphone 6 charger,1.16,0,0,7,248,0,0.03,0.17,0,0,0
unbreakable iphone 6 charger,0.12,0,0,1,44,0,0.02,0.12,0,0,0
by mos 6 foot spring lightning cable,0.01,0,0,1,1,0,1,0.01,0,0,0
indestructible charging cable for android,0.14,0,0,1,1,0,1,0.14,0,0,0
spring lightning cable mos,0.01,0,0,1,1,0,1,0.01,0,0,0
lifetime guarantee iphone charger 10 foot,0.13,0,0,1,1,0,1,0.13,0,0,0
indestructible charger,0,0,0,0,29,0,0,0,0,0,0
mos spring lightning cable 6 ft,0.01,12.74,1,1,3,1274,0.33,0.01,0,0.01,1
rugged micro usb cable,0.13,0,0,1,1,0,1,0.13,0,0,0
indestructible phone cable,0.16,0,0,1,9,0,0.11,0.16,0,0,0
mos magnetic cable ties,0.15,0,0,4,26,0,0.15,0.04,0,0,0
15 foot braided micro usb,0.14,0,0,1,3,0,0.33,0.14,0,0,0
indestructible mini usb cable,0.19,0,0,1,2,0,0.5,0.19,0,0,0
mos spring micro usb cable aluminum heads with spring relief deep grey 10ft,0.02,0,0,2,7,0,0.29,0.01,0,0,0
mos spring charging cable,0.19,0,0,1,1,0,1,0.19,0,0,0
unbreakable micro usb cable,0.27,0,0,2,39,0,0.05,0.14,0,0,0
mos spring lightning cable 1 ft,0.01,9.41,1,1,1,941,1,0.01,0,0.01,1
mos phone charger,0.07,0,0,1,4,0,0.25,0.07,0,0,0
mos spring lightning cable 10ft,0.39,0,0,8,43,0,0.19,0.05,0,0,0
mos spring lightning cable 10ft,0.08,0,0,1,1,0,1,0.08,0,0,0
spring for phone charger,0.15,0,0,1,1,0,1,0.15,0,0,0
most indestructible charger,0.08,0,0,1,1,0,1,0.08,0,0,0
unbreakable iphone cord,0.18,0,0,1,10,0,0.1,0.18,0,0,0
unbreakable iphone cord,0.16,0,0,1,18,0,0.06,0.16,0,0,0
mos spring lightning cable deep grey aluminum heads with spring relief 6 ft,0.01,12.74,1,1,2,1274,0.5,0.01,0,0.01,1
mos spring lightning cable deep grey aluminum heads with spring relief 6 ft,0.09,0,0,1,1,0,1,0.09,0,0,0
charging cord with spring,0.17,0,0,1,6,0,0.17,0.17,0,0,0
mos micro usb,0,0,0,0,3,0,0,0,0,0,0
non breakable iphone 6 charger,0.19,0,0,1,14,0,0.07,0.19,0,0,0
magnetic cable ties,0.17,1.3,1,1,12,7.65,0.08,0.17,0,0.17,1
mos spring 10 feet micro usb cable,0.01,0,0,1,2,0,0.5,0.01,0,0,0
best lightning cable,0.15,0,0,1,45,0,0.02,0.15,0,0,0
mos spring 6ft micro usb cable,0.15,0,0,1,2,0,0.5,0.15,0,0,0
droid charger sewell direct,0.01,0,0,1,2,0,0.5,0.01,0,0,0
heavy duty usb c cable,0.18,0,0,1,2,0,0.5,0.18,0,0,0
mos spring micro usb cable aluminum heads with spring relief,0.13,0,0,1,1,0,1,0.13,0,0,0
mos spring micro usb cable aluminum heads with spring relief,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring cable,0.15,0,0,1,7,0,0.14,0.15,0,0,0
mos spring cable,0.05,0,0,1,87,0,0.01,0.05,0,0,0
mos spring cable,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring cable,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring cable,0.12,0,0,1,3,0,0.33,0.12,0,0,0
mos spring cable,0.04,0,0,1,48,0,0.02,0.04,0,0,0
charger with metal cord,0.2,0,0,1,1,0,1,0.2,0,0,0
mos charger,0.2,0,0,3,30,0,0.1,0.07,0,0,0
most durable cell phone charger,0.26,0,0,2,4,0,0.5,0.13,0,0,0
strong durable micro usb cable,0.17,0,0,1,1,0,1,0.17,0,0,0
