g_id,title,g_brand,link,description
SW-9885,Sony HDR-HC5E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-hc5e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-HC5E  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9884,Sony HDR-HC5  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-hc5--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-HC5  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9883,Sony HDR-HC1E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-hc1e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-HC1E  with your computer's USB port. It will also sync/charge a digital camera other video cameras GPS units and more.
SW-9881,Sony HDR-FX7E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-fx7e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-FX7E  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9878,Sony HDR-CX6EK  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-cx6ek--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-CX6EK  with your computer's USB port. Also compatible with other cameras video cameras and phones with mini USB ports.
SW-9877,Sony DCR-SR90E USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr90e-usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR90E with your computer's USB port. This cable also functions well for any mini USB to USB application.
SW-9876,Sony DCR-SR85 USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr85-usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR85 with your computer's USB port. This can also be used for any other mini USB scenario that comes up.
SW-9875,Sony DCR-SR82C USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr82c-usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR82C with your computer's USB port. This cable will also come in handy with other mini USB applications.
SW-9874,Sony DCR-SR82 USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr82-usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR82 with your computer's USB port. You can also use this cable to connect your computer to other Mini USB Devices.
SW-9873,Sony DCR-SR75E USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-dcr-sr75e-usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony DCR-SR75E with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
